# Solvent-solute closeness for 166 OROP systems 
# System number, Charge of system, Spin multiplicity of system, Solvent-solute closeness of system in acetonitrile (Å)
1, 1, 2, 0.2180
2, 1, 2, 0.2180
3, 1, 2, 0.2140
4, 1, 2, 0.2100
5, 1, 2, 0.2140
6, 1, 2, 0.2180
7, 1, 2, 0.2220
8, 1, 2, 0.2260
9, 1, 2, 0.2180
10, 1, 2, 0.2180
11, 1, 2, 0.2060
12, 1, 2, 0.2100
13, 1, 2, 0.2260
14, 1, 2, 0.2140
15, 1, 2, 0.2180
16, 1, 2, 0.2260
17, 1, 2, 0.2180
18, 1, 2, 0.2140
19, 1, 2, 0.2140
20, 1, 2, 0.2140
21, 1, 2, 0.2140
22, 1, 2, 0.2100
23, 1, 2, 0.2220
24, 1, 2, 0.2220
25, 1, 2, 0.2140
26, 1, 2, 0.2220
27, 1, 2, 0.2220
28, 1, 2, 0.2180
29, 1, 2, 0.2260
30, 1, 2, 0.2220
31, 1, 2, 0.2180
32, 1, 2, 0.2220
33, 1, 2, 0.2140
34, 1, 2, 0.2140
35, 1, 2, 0.2220
36, 1, 2, 0.2180
37, 1, 2, 0.2140
38, 1, 2, 0.2180
39, 1, 2, 0.2180
40, 1, 2, 0.1660
41, 1, 2, 0.2180
42, 1, 2, 0.2300
43, 1, 2, 0.2180
44, 1, 2, 0.2140
45, 1, 2, 0.1580
46, 1, 2, 0.1620
47, 1, 2, 0.1700
48, 1, 2, 0.1620
49, 1, 2, 0.1700
50, 1, 2, 0.1580
51, 1, 2, 0.1660
52, 1, 2, 0.1620
53, 1, 2, 0.1580
54, 1, 2, 0.2140
55, 1, 2, 0.2180
56, 1, 2, 0.2140
57, 1, 2, 0.2100
58, 1, 2, 0.2180
59, 1, 2, 0.2140
60, 1, 2, 0.2220
61, 1, 2, 0.2140
62, 1, 2, 0.2260
63, 1, 2, 0.2100
64, 1, 2, 0.1780
65, 1, 2, 0.2100
66, 1, 2, 0.2140
67, 1, 2, 0.1820
68, 1, 2, 0.2140
69, 1, 2, 0.1820
70, 1, 2, 0.1780
71, 1, 2, 0.2140
72, 1, 2, 0.1820
73, 1, 2, 0.1860
74, 1, 2, 0.1900
75, 1, 2, 0.1900
76, 1, 2, 0.1820
77, 1, 2, 0.2140
78, 1, 2, 0.1780
79, 1, 2, 0.1740
80, 1, 2, 0.2100
81, 1, 2, 0.1780
82, 1, 2, 0.1900
83, 1, 2, 0.2180
85, 1, 2, 0.1740
88, 1, 2, 0.1900
89, 1, 2, 0.1820
90, 1, 2, 0.1780
91, 1, 2, 0.2140
93, 1, 2, 0.2100
94, 1, 2, 0.2220
95, 1, 2, 0.2300
96, 1, 2, 0.1860
97, 1, 2, 0.1860
98, 1, 2, 0.2220
99, 1, 2, 0.1740
100, 1, 2, 0.2260
101, 1, 2, 0.2260
102, 1, 2, 0.2220
103, 0, 1, 0.1780
104, 0, 1, 0.2340
105, 0, 1, 0.2620
107, 0, 1, 0.2220
109, 0, 1, 0.2380
111, 0, 1, 0.2220
113, 1, 2, 0.2060
114, 1, 2, 0.2340
115, 1, 2, 0.2340
116, 1, 2, 0.2300
117, 1, 2, 0.2260
118, 0, 1, 0.2300
119, 0, 1, 0.1980
120, 0, 1, 0.2020
121, 0, 1, 0.2140
122, 0, 1, 0.2100
123, 0, 1, 0.2140
124, 0, 1, 0.2100
125, 0, 1, 0.2100
126, 0, 1, 0.2060
127, 0, 1, 0.2260
129, 1, 2, 0.1580
130, 0, 1, 0.2180
131, 0, 1, 0.2060
132, 0, 1, 0.2060
133, 0, 1, 0.2060
134, 1, 2, 0.2100
135, 1, 2, 0.2140
136, 1, 2, 0.2180
137, 1, 2, 0.2060
138, 1, 2, 0.2140
139, 1, 2, 0.2180
140, 0, 1, 0.1660
141, 0, 1, 0.2100
142, 0, 1, 0.2060
143, 0, 1, 0.2140
144, 0, 1, 0.2100
145, 0, 1, 0.2180
146, 0, 1, 0.2100
147, 0, 1, 0.2140
149, 0, 1, 0.2100
151, 1, 2, 0.2100
155, 1, 2, 0.2140
156, 1, 2, 0.2220
157, 0, 1, 0.1780
158, 0, 1, 0.2100
159, 0, 1, 0.2060
160, 0, 1, 0.1660
161, 0, 1, 0.2140
162, 0, 1, 0.2340
163, 0, 1, 0.2100
164, 0, 1, 0.2220
165, 0, 1, 0.2220
166, 0, 1, 0.2100
168, 0, 1, 0.2180
170, 0, 1, 0.2020
171, 0, 1, 0.2300
172, 0, 1, 0.2180
174, 1, 2, 0.2220
179, 0, 1, 0.2060
181, -2, 1, 0.1660
182, 0, 1, 0.2060
184, 0, 1, 0.2060
188, 0, 1, 0.2060
190, -1, 2, 0.2260
191, 2, 1, 0.2220
192, 1, 2, 0.2340
193, -3, 4, 0.2300
