# closeness in Å for 16 solutes (rows) each for 5 solvents (columns) 
# OROP system number, solvent MeCN, solvent water, solvent chloroform, solvent NMA, solvent methanol
4, 0.2100, 0.1740, 0.2340, 0.2020, 0.2020
21, 0.2180, 0.1620, 0.2500, 0.1980, 0.2020
23, 0.2220, 0.1740, 0.2260, 0.1980, 0.2020
38, 0.2180, 0.1740, 0.2580, 0.1980, 0.2060
54, 0.2140, 0.1500, 0.2260, 0.1940, 0.2020
67, 0.1820, 0.1580, 0.2300, 0.1660, 0.1700
69, 0.1820, 0.1620, 0.2060, 0.1700, 0.1740
72, 0.1820, 0.1580, 0.2260, 0.1660, 0.1700
91, 0.2140, 0.1620, 0.2300, 0.1740, 0.1700
97, 0.1860, 0.1620, 0.2380, 0.1660, 0.1700
122, 0.2100, 0.1540, 0.2180, 0.2020, 0.1460
144, 0.2100, 0.1420, 0.2060, 0.1780, 0.1660
156, 0.2220, 0.1700, 0.2500, 0.1980, 0.2020
168, 0.2180, 0.1540, 0.2100, 0.1700, 0.2060
171, 0.2260, 0.1580, 0.2140, 0.1780, 0.1580
179, 0.2020, 0.1580, 0.2100, 0.1740, 0.1660
