# reorganization energies for 151 OROP systems 
# OROP system number, inner-sphere reorganization energies in eV, outer-sphere reorganization energies in eV, total reorganization energies in eV, outer-sphere contribution in %
1, 0.102, 0.070, 0.172, 40.6
2, 0.196, 0.042, 0.239, 17.7
3, 0.118, 0.024, 0.143, 17.0
4, 0.129, 0.085, 0.213, 39.7
5, 0.193, 0.075, 0.267, 27.9
6, 0.137, 0.069, 0.206, 33.3
8, 0.161, 0.065, 0.225, 28.7
9, 0.183, 0.060, 0.243, 24.8
10, 0.179, 0.044, 0.223, 19.7
11, 0.203, 0.030, 0.234, 13.0
12, 0.200, 0.031, 0.231, 13.3
13, 0.198, 0.044, 0.242, 18.1
14, 0.244, 0.040, 0.284, 14.2
15, 0.190, 0.046, 0.235, 19.3
17, 0.272, 0.053, 0.324, 16.3
19, 0.297, 0.052, 0.349, 14.9
20, 0.189, 0.020, 0.209, 9.7
21, 0.193, 0.042, 0.235, 18.0
22, 0.141, 0.026, 0.167, 15.4
23, 0.140, 0.060, 0.201, 30.1
24, 0.290, 0.005, 0.295, 1.8
25, 0.219, 0.058, 0.277, 20.9
26, 0.211, 0.029, 0.240, 12.2
27, 0.196, 0.047, 0.243, 19.4
28, 0.238, 0.030, 0.268, 11.1
29, 0.219, 0.028, 0.247, 11.2
30, 0.231, 0.108, 0.339, 31.9
31, 0.204, 0.027, 0.231, 11.6
32, 0.223, 0.029, 0.252, 11.5
33, 0.237, 0.080, 0.317, 25.3
34, 0.206, 0.029, 0.235, 12.4
35, 0.306, 0.059, 0.366, 16.3
36, 0.350, 0.070, 0.420, 16.6
37, 0.174, 0.047, 0.221, 21.4
38, 0.328, 0.009, 0.336, 2.6
40, 0.422, 0.123, 0.545, 22.5
41, 0.329, 0.063, 0.393, 16.1
42, 0.223, 0.084, 0.307, 27.5
43, 0.325, 0.130, 0.455, 28.5
44, 0.405, 0.098, 0.503, 19.5
46, 0.306, 0.076, 0.382, 19.8
47, 0.255, 0.078, 0.333, 23.4
48, 0.144, 0.035, 0.179, 19.8
49, 0.241, 0.049, 0.290, 16.9
50, 0.240, 0.067, 0.307, 21.7
51, 0.199, 0.059, 0.258, 22.8
52, 0.214, 0.078, 0.292, 26.7
53, 0.139, 0.091, 0.230, 39.6
54, 0.421, 0.019, 0.441, 4.4
55, 0.109, 0.051, 0.160, 31.8
56, 0.316, 0.004, 0.320, 1.3
57, 0.345, 0.014, 0.358, 3.8
58, 0.290, 0.066, 0.356, 18.6
59, 0.330, 0.081, 0.411, 19.7
60, 0.214, 0.046, 0.260, 17.7
61, 0.270, 0.051, 0.320, 15.9
62, 0.316, 0.071, 0.386, 18.3
63, 0.418, 0.041, 0.459, 9.0
64, 0.418, 0.051, 0.469, 10.9
65, 0.570, 0.024, 0.594, 4.1
66, 0.205, 0.048, 0.253, 18.9
67, 0.392, 0.084, 0.475, 17.6
68, 0.708, 0.068, 0.776, 8.7
69, 0.389, 0.053, 0.442, 12.0
70, 0.272, 0.054, 0.326, 16.7
71, 0.342, -0.004, 0.338, -1.2
72, 0.684, 0.158, 0.841, 18.7
73, 0.114, 0.056, 0.171, 32.9
75, 0.393, 0.058, 0.451, 12.8
76, 0.555, 0.165, 0.720, 23.0
77, 0.323, 0.020, 0.344, 5.9
78, 0.381, 0.063, 0.444, 14.1
79, 0.405, 0.068, 0.473, 14.4
80, 0.174, 0.035, 0.209, 16.8
81, 0.209, 0.070, 0.279, 25.3
82, 0.270, 0.049, 0.320, 15.4
83, 0.326, 0.038, 0.365, 10.5
85, 0.577, 0.011, 0.588, 1.8
88, 0.104, 0.048, 0.153, 31.8
89, 0.244, 0.037, 0.281, 13.1
90, 0.407, 0.081, 0.488, 16.7
91, 0.201, 0.031, 0.232, 13.3
93, 0.225, 0.038, 0.264, 14.5
94, 0.165, 0.090, 0.255, 35.1
95, 0.084, 0.042, 0.126, 33.2
